Surface metal, Adsorbate, Adsorption position, Adsorption energy (eV)
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, fcc, -0.7868155011659486
Rh, O,  fcc, 2.6125055955832774
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
Rh, CO, hcp, -0.8108143442948563
Rh, O,  hcp, 2.742328380000023
